TransactionID,Date,Hour,CustomerID,Item,Category,Price,Quantity,Discount,Promotion,PaymentMethod,Weather,Cost
b7e002fa-c652-4b27-b10e-35d01da3355d,2023-10-15,21,4704b710-27b1-4457-b6cc-43ca39a8aefe,onions,produce,9.25,1,0,Loyalty Rewards Points,card,sunny,5.99
d60166d2-8d34-4683-9ea9-2dd4210cc313,2023-07-06,17,6ab0408d-858d-49f8-9c8f-ccb030863d39,carrots,produce,1.09,1,0,Free Gift with Purchase,card,rainy,0.82
d4b13b3f-029c-4b4a-a325-1f4779a675e7,2024-04-18,20,c19aab83-5ba9-46ba-9dcb-33fd9d771c6b,grapes,produce,2.22,2,0,Buy One Get One Free,card,sunny,1.49
d4b13b3f-029c-4b4a-a325-1f4779a675e7,2024-04-18,20,c19aab83-5ba9-46ba-9dcb-33fd9d771c6b,cookies,snacks,14.4,2,0,Loyalty Rewards Points,cash,sunny,10.82
7b8bf19a-d4b0-48c2-8592-ace2f5ecf0ef,2023-06-10,16,e2c7ba83-ace1-417f-ad47-387aef896943,fish,seafood,8.07,1,0,Free Gift with Purchase,card,rainy,5.32
53fc7160-80e9-465f-ba22-ee7f85989ad3,2024-01-22,18,beb2b5d2-2bd1-43e9-babc-af23a237e525,grapes,produce,2.22,1,0,Loyalty Rewards Points,cash,cloudy,1.45
759adfe8-64d9-4ea3-9309-975d95d96fab,2023-10-10,19,dcc834d7-4d97-45e6-925c-ef32bd1c040e,chocolate,snacks,2.3,1,0,Buy One Get One Free,card,cloudy,1.7
33bf8942-58f2-4eda-aa2f-324ea7c0a20c,2024-05-19,9,48f9f486-0405-483e-9252-2c1fd0b29c5e,milk,dairy,4.85,1,0,Free Gift with Purchase,card,rainy,3.2
b79b3484-6662-4b07-8e11-f6163254d64c,2024-05-07,19,18c506b5-75c6-4382-97ed-82f4e4600e83,pizza,frozen,9.45,1,0,20% Off Entire Purchase,cash,stormy,6.8
e9c30b0e-f5d3-49a3-874a-33c3c6cfe583,2023-09-08,11,32593b87-5d33-4375-94dd-b39afeb550ee,onions,produce,9.25,1,0,Loyalty Rewards Points,cash,cloudy,6.17
6b1f9be0-8fd9-41a9-ac0b-9d4c62df414b,2024-04-09,14,8b443181-39cf-489b-a919-1acb2623d620,eggs,dairy,11.31,1,0,Buy One Get One Free,card,cloudy,7.93
9f650d25-e735-4937-809b-f35441dd5237,2024-01-12,10,81d7134d-06f3-45a1-9272-4bab6ea6ebbc,chips,snacks,5.71,1,0,Buy One Get One Free,cash,cloudy,4.14
806f09a7-0171-4b98-ba54-da029b955dc9,2024-01-18,15,ed7d8d07-a543-4582-a763-22408bedde88,onions,produce,9.25,1,0,Buy One Get One Free,card,stormy,6.94
8c4c3237-3454-4ecb-adb7-5039a85f48d5,2023-09-15,19,4a5c0b20-0e03-4b65-9675-5662b8ff92b8,pork,meat,4.06,1,0,Loyalty Rewards Points,card,rainy,2.62
7da940c5-2b5a-40fa-8328-c19915098cf3,2023-08-06,16,c9c24587-422f-43aa-b482-f844ef4ea499,ice cream,dairy,12.86,1,0,20% Off Entire Purchase,card,sunny,9.4
28b21bb4-655b-4b5e-9420-03a2759c124e,2024-01-19,19,73cfe038-c927-40c1-af53-a56b71769abc,potatoes,produce,4.09,1,0,20% Off Entire Purchase,cash,rainy,2.93
